q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14_u,q14_r,q14_i,q14_rur,q14_m,q14_pnd,q15,q16,q17,q18,q19_a,q19_b,q20,q21
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,9,350,6,Medium,Gauteng,johannesburg,.,true,.,.,.,.,,7,5,Yes,25.5,110,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,3,50,5,Medium,Gauteng,Johannesburg,.,.,.,.,.,true,,3,7,No,,,I do not wish to disclose this information,No
I consent,Male,White,20-29 years,R1000- R4999,Once per week,Once per month (or less),2,300,10,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,10,3,Yes,,60,Yes,No
I consent,Male,Coloured,.,R15 000- R19 999,2-3 times per month,Once per month (or less),5,500,17,High,Gauteng,Pretoria,.,true,.,.,.,.,,10,More than 30 days,Yes,9.5,60,Yes,No
I consent,Male,White,20-29 years,R30 000 and above,2-3 times per week,Once per week,5,140,5,High,Gauteng,Johannesburg,.,true,.,.,.,.,,7,4,Yes,14,140,No,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,4,3000,800,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,8,More than 30 days,Yes,,20,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,3,250,6.5,High,Gauteng,Joburg and Pretoria,.,true,.,.,.,.,,8,3,Yes,17.5,112.5,No,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,4,500,25,Medium,Gauteng,Joburg,.,true,.,.,.,.,,3,14,Yes,12,50,Yes,I do not wish to disclose this information
I consent,Male,White,30-39 years,R25 000- R29 999,Everyday,Once per month (or less),12,1000,10,High,Gauteng,Pretoria,.,true,.,.,.,.,,8,30,Yes,34.25,177,No,I do not wish to disclose this information
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per week,13,350,5,Medium,Gauteng,Jhb,.,true,.,.,.,.,,10,7,Yes,,120,No,No
I consent,Male,White,30-39 years,R15 000- R19 999,Everyday,Once per month (or less),17,200,8,Medium,Gauteng,Vereeniging,.,true,.,.,.,.,,9,30,Yes,,100,Yes,No
I consent,Female,African,20-29 years,R1000- R4999,Everyday,Everyday,7,150,10,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,2,Yes,12.5,150,No,No
I consent,Male,Coloured,30-39 years,R10 000- R14 999,Everyday,Once per week,5,100,5,Medium,Gauteng,Benoni,.,true,.,.,.,.,,6,5,No,,,No,No
I consent,I would prefer not to answer,I would prefer to not answer,20-29 years,R1000- R4999,2-3 times per month,Once per month (or less),5,100,7,Medium,Gauteng,Pretoria,.,.,.,.,true,.,,7,20,Yes,,42.5,Yes,No
I consent,Male,African,20-29 years,R5000-R9999,Everyday,Once per month (or less),1,200,50,High,Gauteng,Midrand,.,true,.,.,.,.,,2,19,Yes,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,10,100,5,Medium,Gauteng,Johannesburg,.,.,.,.,.,true,,5,7,No,,,No,No
I consent,Male,White,20-29 years,< R1000 (less than R1000),2-3 times per week,2-3 times per month,4,300,10,Low,Gauteng,Randburg,.,true,.,.,.,.,,5,20,Yes,20,125,No,Yes
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,4,150,4,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,7,7,Yes,12.5,50,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,Once per week,15,1500,1000,Medium,Gauteng,Pretoria,.,.,.,.,true,.,,10,30,Yes,,50,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,7,200,11,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,8,21,No,,,Yes,No
I consent,Male,.,20-29 years,R5000-R9999,Everyday,.,2,1500,105,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,2,30,Yes,10,180,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),5,500,50,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,30,Yes,,63.333332,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,Once per week,2,150,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,7,Yes,16.666666,75,No,No
I consent,Female,Coloured,.,< R1000 (less than R1000),Everyday,2-3 times per week,3,40,20,Low,Gauteng,Johannesburg,.,.,.,.,true,.,,7,2,Yes,,85,Yes,No
I consent,Female,White,30-39 years,R25 000- R29 999,Everyday,Once per month (or less),15,1050,60,Medium,Gauteng,Benoni,true,.,.,.,.,.,,3,27,,,120,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,5,2000,200,High,Gauteng,Pta,true,.,.,.,.,.,,7,More than 30 days,Yes,,66.666664,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,Once per week,Once per month (or less),7,300,5,Medium,Gauteng,Krugersdorp,.,true,.,.,.,.,,5,More than 30 days,No,,,Yes,No
I consent,Male,White,20-29 years,R20 000- R24 999,Once per week,Once per month (or less),6,250,10,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,5,10,No,,,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R1000- R4999,Everyday,2-3 times per month,3,2400,100,High,Gauteng,Pretoria,.,true,.,.,.,.,,10,30,Yes,20,65,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Once per month (or less),Once per month (or less),4,100,1,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,30,No,,,Yes,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per month (or less),16,1000,8,High,Gauteng,Johannesburg,.,true,.,.,.,.,,7,4,Yes,30,200,No,No
I consent,Female,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per week,7,400,15,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,5,Yes,20,120,Yes,No
I consent,Male,I would prefer to not answer,20-29 years,R10 000- R14 999,Everyday,Once per week,10,200,10,Medium,Gauteng,Randburg,.,true,.,.,.,.,,4,15,Yes,,150,I do not wish to disclose this information,No
I consent,Male,Indian,20-29 years,R1000- R4999,Everyday,2-3 times per month,4,200,7,High,Gauteng,Pretoria,true,.,.,.,.,.,,7,7,Yes,10,220,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,8,1500,100,High,Gauteng,PTA,true,.,.,.,.,.,,10,25,Yes,,113.33334,No,No
I consent,Male,White,40-49 years,R15 000- R19 999,Everyday,2-3 times per month,20,300,20,Medium,Gauteng,Johannesburg,.,.,true,.,.,.,,2,14,No,,,No,No
I consent,Male,African,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,4,100,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,2,Yes,11,72.5,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per week,Once per month (or less),15,500,32,Medium,Gauteng,Benoni,.,true,.,.,.,.,,9,30,No,,,No,No
I consent,Female,Coloured,20-29 years,R1000- R4999,Once per month (or less),Once per month (or less),3,200,15,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,8,More than 30 days,Yes,,85,No,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),Once per month (or less),Once per month (or less),4,800,20,Medium,Gauteng,Randburg,.,.,.,.,true,.,,3,15,Yes,30,63.214287,No,Yes
I consent,Male,I would prefer to not answer,30-39 years,R25 000- R29 999,Everyday,2-3 times per month,20,300,6,High,Gauteng,Jhb,.,true,.,.,.,.,,5,7,Yes,40,75,No,No
I consent,Female,White,40-49 years,R20 000- R24 999,Once per month (or less),Once per month (or less),3,120,3,High,Gauteng,Pretoria,.,.,.,.,.,true,,5,5,No,,,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,2-3 times per month,4,120,3,Medium,Gauteng,Randburg,.,true,.,.,.,.,,7,7,Yes,16.375,200,I do not wish to disclose this information,No
I consent,Male,Asian,30-39 years,R30 000 and above,Everyday,2-3 times per month,12,200,20,Medium,Gauteng,JOHANNESBURG,.,true,.,.,.,.,,8,30,No,,,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,2-3 times per month,18,400,100,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,15,No,,,Yes,No
I consent,Male,Indian,40-49 years,R30 000 and above,Once per week,Once per month (or less),18,150,50,Medium,Gauteng,Sandton,true,.,.,.,.,.,,7,30,No,,,Yes,No
I consent,Male,African,20-29 years,R30 000 and above,Everyday,2-3 times per month,4,1000,60,High,Gauteng,.,true,.,.,.,.,.,,10,10,Yes,,123.125,No,I do not wish to disclose this information
I consent,Male,White,30-39 years,R5000-R9999,2-3 times per week,2-3 times per month,14,300,4,High,Gauteng,Johannesburg,true,.,.,.,.,.,,7,15,Yes,31.25,250,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Everyday,6,2000,25,High,Gauteng,Johannesburg,true,.,.,.,.,.,,3,10,Yes,50,150,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,2,200,4,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,7,7,No,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,7,400,40,High,Gauteng,Johannesburg,.,true,.,.,.,.,,9,7,No,,,Yes,No
I consent,Male,African,20-29 years,R10 000- R14 999,Everyday,2-3 times per week,5,1200,8,High,Gauteng,Bryanston,true,.,.,.,.,.,,5,6,No,,,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,Once per month (or less),13,2000,100,High,Gauteng,Gauteng,.,true,.,.,.,.,,1,More than 30 days,Yes,10,60,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,4,400,15,High,Gauteng,Pretoria,.,true,.,.,.,.,,7,7,Yes,,45,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,Once per week,3,150,10,Medium,Gauteng,Johennesburg,true,.,.,.,.,.,,10,7,No,,,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,I do not wish to disclose this information,17,255,70,Medium,Gauteng,Pretoria,.,.,.,.,.,true,,5,7,Yes,1,150,No,No
I consent,Female,African,20-29 years,R5000-R9999,Once per week,2-3 times per month,10,100,3,High,Gauteng,Pretoria,true,.,.,.,.,.,,10,7,Yes,16.666666,80,No,No
I consent,Male,White,< 20 years (younger than 20 years),< R1000 (less than R1000),2-3 times per month,Once per month (or less),2,100,5,Low,Gauteng,Vereeniging,.,.,.,.,true,.,,3,More than 30 days,No,,,Yes,No
I consent,Female,White,< 20 years (younger than 20 years),< R1000 (less than R1000),Everyday,Once per month (or less),6,250,100,Medium,Gauteng,Benoni,.,true,.,.,.,.,,7,30,Yes,1,160,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,2-3 times per month,2-3 times per month,7,400,4,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,2,Yes,80,120,No,Yes
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,6,50,5,Low,Gauteng,Pretoria,.,true,.,.,.,.,,5,5,No,,,Yes,No
I consent,Female,White,30-39 years,R30 000 and above,Once per week,Once per month (or less),9,600,2,High,Gauteng,Johannesburg,.,true,.,.,.,.,,5,More than 30 days,No,,,Yes,No
I consent,Female,White,20-29 years,R15 000- R19 999,2-3 times per month,Once per month (or less),10,300,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,10,More than 30 days,Yes,29.444445,200,I do not wish to disclose this information,No
I consent,Male,Coloured,20-29 years,R10 000- R14 999,Everyday,Once per week,8,50,2,Low,Gauteng,Vanderbijlpark,.,.,.,.,true,.,,8,1,No,,,No,No
I consent,Male,White,40-49 years,R30 000 and above,Everyday,2-3 times per month,20,3000,30,High,Gauteng,Jhb,.,true,.,.,.,.,,3,30,,50,135,.,.
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,2-3 times per month,10,100,5,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,7,2,Yes,12.5,40,No,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per month (or less),8,5500,60,High,Gauteng,Edenvale,true,.,.,.,.,.,,9,More than 30 days,Yes,60,140,No,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,7,700,10,Medium,Gauteng,Roodepoort,.,true,.,.,.,.,,10,21,Yes,50,100,No,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,2-3 times per month,17,1000,10,High,Gauteng,Johannesburg,.,true,.,.,.,.,,6,10,Yes,50,156.66667,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,Everyday,2-3 times per month,13,200,10,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,10,10,No,,,Yes,No
I consent,Male,White,20-29 years,R15 000- R19 999,2-3 times per week,2-3 times per month,10,200,10,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,1,14,Yes,12,135,No,No
I consent,Male,I would prefer to not answer,20-29 years,R1000- R4999,Everyday,2-3 times per week,5,100,7,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,4,3,No,,,Yes,No
I consent,Female,Indian,20-29 years,R5000-R9999,2-3 times per month,2-3 times per month,4,70,10,Low,Gauteng,Johannesburg,true,.,.,.,.,.,,5,3,No,,,No,No
I consent,Male,Indian,20-29 years,R5000-R9999,Once per month (or less),Once per month (or less),4,150,10,Medium,Gauteng,Johannesburg,true,.,.,.,.,.,,2,7,Yes,,166.66667,No,No
I consent,Male,White,30-39 years,R30 000 and above,Once per month (or less),Once per month (or less),10,300,5,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,7,More than 30 days,Yes,22.5,185,Yes,No
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per month (or less),10,400,5,High,Gauteng,Johannesburg,.,.,.,.,.,true,,10,30,Yes,31.5,120,Yes,Yes
I consent,Male,White,30-39 years,R20 000- R24 999,Everyday,Once per month (or less),10,400,5,High,Gauteng,Pretoria,.,true,.,.,.,.,,10,30,Yes,39.166668,100,Yes,No
I consent,Male,Coloured,50 years and above,R30 000 and above,Everyday,Once per week,19,50,10,Low,Gauteng,Johannesburg,true,.,.,.,.,.,,2,7,Yes,,75,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,2-3 times per week,Once per week,6,150,5,Low,Gauteng,Pretoria,.,true,.,.,.,.,,8,3,No,,,No,No
I consent,Female,White,20-29 years,< R1000 (less than R1000),Everyday,2-3 times per week,4,300,5,High,Gauteng,Johannesburg,.,true,.,.,.,.,,10,3,Yes,41.666668,200,Yes,No
I consent,Male,White,20-29 years,R5000-R9999,2-3 times per week,Once per month (or less),10,300,28,Medium,Gauteng,Johannesburg South,.,true,.,.,.,.,,10,More than 30 days,Yes,5,60,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,2-3 times per week,Once per week,2,500,5,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,14,Yes,65,167.5,Yes,No
I consent,Male,White,20-29 years,R25 000- R29 999,Everyday,Once per month (or less),11,700,20,High,Gauteng,Pretoria,.,true,.,.,.,.,,9,30,Yes,27.777779,110,Yes,No
I consent,Male,African,20-29 years,< R1000 (less than R1000),Everyday,Everyday,7,450,500,Medium,Gauteng,Pretoria,.,.,.,.,.,true,,8,30,No,,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,6,200,10,Low,Gauteng,Johannesburg,.,true,.,.,.,.,,3,10,Yes,,110,No,No
I consent,Male,White,< 20 years (younger than 20 years),R1000- R4999,Once per month (or less),Once per month (or less),2,300,10,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,7,21,Yes,20,60,Yes,Yes
I consent,Female,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,8,1075,100,Medium,Gauteng,.,.,.,.,.,.,.,,2,30,Yes,8,40,Yes,No
I consent,Female,White,50 years and above,R1000- R4999,2-3 times per week,2-3 times per month,19,50,3,Medium,Gauteng,All over S.A.,.,true,.,.,.,.,,5,10,No,,,No,No
I consent,Male,White,30-39 years,R25 000- R29 999,Everyday,2-3 times per month,15,400,30,Medium,Gauteng,Johannesburg,.,.,.,.,.,true,,5,10,Yes,10,100,Yes,No
I consent,Male,White,40-49 years,R5000-R9999,Everyday,Once per week,20,500,25,Medium,Gauteng,Randburg,true,.,.,.,.,.,,10,7,Yes,10,33.333332,No,No
I consent,Male,African,< 20 years (younger than 20 years),R1000- R4999,Once per week,Once per week,5,50,1,High,Gauteng,Johannesburg,.,.,.,.,true,.,,7,1,Yes,30,100,Yes,No
I consent,Female,African,20-29 years,R20 000- R24 999,2-3 times per week,Once per month (or less),7,100,70,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,3,30,Yes,,130,Yes,No
I consent,Female,Indian,30-39 years,R25 000- R29 999,Once per month (or less),Once per month (or less),15,120,1,High,Gauteng,Johannesburg,true,.,.,.,.,.,,9,2,No,,,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R30 000 and above,Everyday,Once per month (or less),15,1500,20,High,Gauteng,Pretoria,.,true,.,.,.,.,,5,More than 30 days,Yes,50,250,Yes,No
I consent,Female,White,20-29 years,R1000- R4999,Everyday,Once per week,2,120,4,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,7,7,Yes,25,,Yes,No
I consent,Male,White,20-29 years,R10 000- R14 999,Everyday,Once per week,14,300,10,Medium,Gauteng,Braamfontein,true,.,.,.,.,.,,2,7,No,,,No,No
I consent,Male,White,30-39 years,R20 000- R24 999,2-3 times per week,Once per month (or less),11,540,3,High,Gauteng,Pretoria,.,true,.,.,.,.,,8,24,Yes,65,250,Yes,No
I consent,Male,White,30-39 years,R30 000 and above,2-3 times per month,Once per month (or less),20,300,6,High,Gauteng,JHB,.,.,.,.,true,.,,8,10,Yes,10,145,No,I do not wish to disclose this information
I consent,Male,I would prefer to not answer,30-39 years,R5000-R9999,2-3 times per week,Once per week,15,300,2,High,Gauteng,Johannesburg,.,true,.,.,.,.,,10,7,Yes,100,190,I do not wish to disclose this information,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,19,900,11,High,Gauteng,Johannesburg,.,.,.,.,true,.,,8,8,Yes,55,100,Yes,No
I consent,Male,White,30-39 years,R10 000- R14 999,Everyday,2-3 times per month,12,2000,60,High,Gauteng,.,.,true,.,.,.,.,,10,30,Yes,14,80,I do not wish to disclose this information,No
I consent,Male,African,20-29 years,R1000- R4999,Everyday,2-3 times per week,6,25,4,Low,Gauteng,Johannesburg,true,.,.,.,.,.,,10,2,Yes,5,50,No,Yes
I consent,Female,White,20-29 years,< R1000 (less than R1000),Everyday,Once per week,10,100,6,Medium,Gauteng,Boksburg,.,true,.,.,.,.,,4,2,No,,,.,Yes
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,4,150,8,Medium,Gauteng,Pretoria,.,true,.,.,.,.,,8,9,No,,,No,No
I consent,Male,White,20-29 years,R5000-R9999,Everyday,2-3 times per month,9,1200,100,High,Gauteng,Pretoria,.,.,.,.,.,true,,8,30,Yes,10,90,Yes,No
I consent,Female,White,30-39 years,R15 000- R19 999,Everyday,Once per month (or less),16,1700,572,Medium,Gauteng,Pretoria,.,.,true,.,.,.,,5,More than 30 days,No,,,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,Once per week,4,100,4,Medium,Gauteng,PRETORIA,.,true,.,.,.,.,,9,5,Yes,,100,Yes,No
I consent,Female,White,20-29 years,R10 000- R14 999,Everyday,Once per week,8,325,10,Medium,Gauteng,Centurion,.,.,.,.,true,.,,10,7,Yes,15,135,Yes,Yes
I consent,Female,White,20-29 years,R25 000- R29 999,Once per week,Once per month (or less),5,1000,25,High,Gauteng,Vereeniging,.,.,.,.,true,.,,10,25,Yes,12.5,80,Yes,No
I consent,Male,Coloured,20-29 years,R5000-R9999,Everyday,2-3 times per week,10,50,2,High,Gauteng,Johannesburg,.,true,.,.,.,.,,5,4,No,,,No,No
I consent,Male,White,20-29 years,R1000- R4999,Everyday,2-3 times per month,5,350,10,Medium,Gauteng,Pretoria,true,.,.,.,.,.,,8,10,Yes,15,200,No,No
I consent,Male,White,30-39 years,R15 000- R19 999,Everyday,Once per week,16,1000,20,High,Gauteng,Jhb,.,.,.,.,.,true,,10,5,Yes,33.333332,350,Yes,No
I consent,Male,White,20-29 years,R1000- R4999,2-3 times per week,2-3 times per month,3,70,1.5,Medium,Gauteng,Johannesburg,.,true,.,.,.,.,,10,3,Yes,28.571428,73.333336,No,No
I consent,Male,Indian,20-29 years,R25 000- R29 999,2-3 times per week,Once per month (or less),1,300,2,High,Gauteng,Johannesburg,.,true,.,.,.,.,,8,4,Yes,100,175,Yes,No
